Date,Total,Desktop,Android,Desktop/nightly,Desktop/aurora,Desktop/beta,Desktop/release,Android/nightly,Android/aurora,Android/beta,Android/release
2015-10-09,102132626,97482771,4649855,44227,111922,2078869,95247753,1166,1285,90678,4556726
2015-10-10,78340356,73765612,4574744,37687,84453,1770563,71872909,1105,1335,90222,4482082
2015-10-11,77930522,73313793,4616729,37940,83333,1526718,71665802,1104,1384,91186,4523055
2015-10-12,105293707,100606417,4687290,42975,103925,2053653,98405864,951,1136,86503,4598700
2015-10-13,111196537,106436289,4760248,43906,110974,2099880,104181529,1018,1132,82961,4675137
2015-10-14,109229237,104468050,4761187,43075,110508,1998081,102316386,1113,1136,89473,4669465
2015-10-15,109285571,104505881,4779690,43170,111394,2111411,102239906,1149,1140,89247,4688154
2015-10-16,103336739,98578042,4758697,41464,106393,1997116,96433069,1294,1147,88736,4667520
2015-10-17,79127537,74441411,4686126,35776,80184,1729339,72596112,1584,1205,89473,4593864
2015-10-18,79685134,74956476,4728658,35973,80728,1472164,73367611,1682,1180,90241,4635555
2015-10-19,112302068,107483287,4818781,44327,113329,2172271,105153360,1485,1257,88533,4727506
2015-10-20,111718562,106844933,4873629,44255,114302,2126035,104560341,1675,1168,84956,4785830
2015-10-21,110387084,105551817,4835267,43907,113375,2077849,103316686,1754,1224,48375,4783914
2015-10-22,107983845,103161312,4822533,42824,111355,1866200,101140933,2069,1204,31157,4788103
2015-10-23,102799749,97956754,4842995,41785,106951,1910476,95897542,2256,1146,89544,4750049
2015-10-24,78270514,73456269,4814245,35832,80120,1591382,71748935,2742,1178,89219,4721106
2015-10-25,81377290,76433630,4943660,37023,82527,1496153,74817927,2860,1251,91958,4847591
2015-10-26,112704174,107759328,4944846,45109,115290,2247417,105351512,2315,1234,88034,4853263
2015-10-27,112488149,107502119,4986030,45243,117104,2235562,105104210,2444,1281,88509,4893796
2015-10-28,111571516,106684312,4887204,45143,116789,2235199,104287181,2550,1239,89635,4793780
2015-10-29,109622733,104757858,4864875,45032,115645,2180254,102416927,2874,1210,88958,4771833
2015-10-30,103404317,98554582,4849735,43126,110544,2047425,96353487,2549,1205,89069,4756912
2015-10-31,79307278,74532230,4775048,36806,82452,1779674,72633298,2986,1228,88657,4682177
2015-11-01,79754070,74919766,4834304,37174,82095,1510479,73290018,2940,1309,89230,4740825
2015-11-02,110028942,105120070,4908872,45725,113224,2255123,102705998,2277,1258,88371,4816966
2015-11-03,112799756,108087902,4711854,46071,117356,2280704,105643771,1910,1177,89887,4618880
2015-11-04,98252094,93824474,4427620,40914,105706,2076018,91601836,1666,692,81328,4343934
2015-11-05,110991438,106124939,4866499,45601,119514,2204326,103755498,2511,1354,92054,4770580
2015-11-06,105232164,100371984,4860180,43954,114290,2070967,98142773,2632,1309,92017,4764222
2015-11-07,80695400,75857172,4838228,37745,85163,1783058,73951206,3439,1370,91456,4741963
2015-11-08,81065921,76156110,4909811,38110,85799,1522093,74510108,3675,1423,93535,4811178
2015-11-09,107993611,103409008,4584603,43430,113325,2148148,101104105,2261,1276,83514,4497552
2015-11-10,111766773,106819576,4947197,45792,119133,2100707,104553944,2608,1395,90614,4852580
2015-11-11,107263451,102253066,5010385,44903,115793,1988243,100104127,2778,1418,93438,4912751
2015-11-12,109969386,104976864,4992522,44789,118405,2019013,102794657,2683,1346,93189,4895304
2015-11-13,104716508,99656057,5060451,43567,113717,1931646,97567127,2690,1342,94891,4961528
2015-11-14,80127104,75148370,4978734,37369,85065,1713493,73312443,3597,1454,94527,4879156
2015-11-15,81527747,76472917,5054830,38409,86409,1527809,74820290,3648,1411,96498,4953273
2015-11-16,113268989,108212400,5056589,46053,119692,2236019,105810636,2755,1418,95944,4956472
2015-11-17,113589881,108484949,5104932,46391,122103,2248754,106067701,2839,1430,97151,5003512
2015-11-18,110101936,105028674,5073262,46437,121957,2241086,102619194,3086,1349,97818,4971009
2015-11-19,108287169,103411623,4875546,45754,119832,2168797,101077240,3314,1398,94867,4775967
