Date,Desktop/Delta,Desktop/Delta%,Android/Delta,Android/Delta%,Total/Delta,Total/Delta%
2015-10-25,-5689790.299999997,-6.112364086293572,397808.333333333,8.493964642844162,-5291981.966666664,-0.054126849954240275
2015-10-26,-3654346.5333333462,-3.8747277948612693,410277.5,8.726686791117222,-3244069.0333333462,-0.03276382218632943
2015-10-27,-3451481.700000003,-3.6140890875599836,420503.7666666666,8.912034884959693,-3030977.9333333364,-0.03024351045889774
2015-10-28,-4275496.5,-4.47341488944942,424307.5666666664,8.972856855428336,-3851188.9333333336,-0.038394989784517636
2015-10-29,-4157333.8666666597,-4.34975339885046,427407.19999999925,9.021359661619845,-3729926.6666666605,-0.03718250002020233
2015-10-30,-4150809.7333333343,-4.3510151622498245,433594.5666666664,9.1353182317589,-3717215.166666668,-0.037118328444842426
2015-10-31,-4696463.266666666,-4.969106087480905,439260.5333333332,9.242872094623415,-4257202.733333332,-0.04288696053732546
2015-11-01,-4391269.166666657,-4.677612529403779,448690.63333333284,9.422459231158166,-3942578.533333324,-0.039969224401493156
2015-11-02,-2675454.799999997,-2.8167137879629114,458787.83333333395,9.608532798867689,-2216666.966666663,-0.02222004937270909
2015-11-03,-2546025.3666666597,-2.648185975645175,457615.2666666666,9.575976740583398,-2088410.099999993,-0.020693508379917368
2015-11-04,-3880890.299999997,-4.051815930842089,447856.80000000075,9.385330176637414,-3433033.4999999963,-0.03414140103883784
2015-11-05,-4205650.966666669,-4.388571659825607,444025.16666666605,9.291775724620981,-3761625.8000000026,-0.037387976152740234
2015-11-06,-4764537.933333337,-4.978185169659805,432483.89999999944,9.03781157813719,-4332054.033333338,-0.04310775904089001
2015-11-07,-5630374.066666678,-5.940175024403049,437485.333333333,9.132693537188096,-5192888.733333345,-0.052150542628214516
2015-11-08,-5527420.233333319,-5.875623761738699,437042.60000000056,9.106977699491193,-5090377.633333319,-0.05148413286858658
2015-11-09,-3952059.4666666687,-4.157354896659825,425874.0333333332,8.873642406898027,-3526185.4333333354,-0.03531086983433228
2015-11-10,-3976414.0666666627,-4.134400539089649,422325.4333333336,8.779551469756289,-3554088.633333329,-0.03519280706536962
2015-11-11,-4979840.933333337,-5.174741272605552,419041.4333333336,8.691821639302574,-4560799.500000004,-0.04513197818728747
2015-11-12,-5225210.13333334,-5.432459886833988,416153.7666666666,8.618084964057052,-4809056.366666674,-0.047607906726019326
2015-11-13,-5509341.066666663,-5.7374282644090435,416409.5,8.605603386143635,-5092931.566666663,-0.05049335980196953
2015-11-14,-6445689.033333346,-6.781652747941738,413531.4333333336,8.534422605649898,-6032157.600000013,-0.060387130114644944
2015-11-15,-6322040.900000006,-6.70352844044361,417089.4666666668,8.59035279498886,-5904951.433333339,-0.05954704347816842
2015-11-16,-4580266.200000003,-4.799364245678995,419269,8.613335660706039,-4160997.200000003,-0.04148447086942364
2015-11-17,-4621198.166666672,-4.7862040592640795,419510.5666666664,8.596148753245917,-4201687.600000005,-0.041423409522365465
2015-11-18,-5855675.5,-6.06990376591375,417799.7000000002,8.546236646239965,-5437875.8,-0.05364947595876722
2015-11-19,-6051265.299999997,-6.28009928128717,410639.13333333377,8.39965499922043,-5640626.166666663,-0.05571265785158015
2015-11-20,-6324318.400000006,-6.5796078696205,407883.86666666716,8.338992605487293,-5916434.533333339,-0.05857202155191244
2015-11-21,-7172565.066666663,-7.535048221283317,404884.7666666666,8.274925593377814,-6767680.299999996,-0.0676211622339982
2015-11-22,-7154078.799999997,-7.57588020862404,402214.9000000004,8.217060659539134,-6751863.899999997,-0.06797599018555378
2015-11-23,-5478671,-5.73445642901627,399533.4333333336,8.154238671662476,-5079137.566666666,-0.05056927416714911
2015-11-24,-5677979.799999997,-5.881846135958466,393668.13333333377,8.028661494143167,-5284311.666666663,-0.05209438573180782
2015-11-25,-6958168.166666672,-7.219516260433478,390694.19999999925,7.961774167474808,-6567473.966666672,-0.06484018000239779
2015-11-26,-7328868.200000003,-7.63081038549002,387487.7333333334,7.890705443728032,-6941380.46666667,-0.06875798872412173
2015-11-27,-7604704.566666663,-7.952466565785802,390802.80000000075,7.945055254027614,-7213901.766666662,-0.07174741318252251
2015-11-28,-8381120.933333322,-8.858028329418936,393490.03333333414,7.9867775666770555,-7987630.899999988,-0.08024312576494229
2015-11-29,-8267209.700000003,-8.80764064969736,400548.03333333414,8.110995356821338,-7866661.666666669,-0.07962014701653573
2015-11-30,-6534082.200000003,-6.876814648952923,407775.2000000002,8.229162797310044,-6126307.000000003,-0.06128061985031586
2015-12-01,-6594404.299999997,-6.8603308805835415,409904.5,8.247118901948914,-6184499.799999997,-0.06117574675002739
2015-12-02,-7622033.766666666,-7.92561041983129,412536.10000000056,8.282153656556366,-7209497.666666665,-0.07127481786023097
2015-12-03,-7769349.433333337,-8.08567971015359,423983.63333333377,8.482061780734915,-7345365.800000004,-0.07266426033725104
2015-12-04,-7579115.63333334,-7.871001360551606,445963.2000000002,8.875781722855368,-7133152.43333334,-0.07040490669896801
2015-12-05,-8351225.033333331,-8.766040728171282,452952.16666666605,8.99850570622458,-7898272.866666665,-0.07874526306021595
2015-12-06,-8220668.033333346,-8.704628573375235,463219.0666666664,9.180888739779725,-7757448.96666668,-0.07797554599691736
2015-12-07,-6453609.333333328,-6.7611752636903555,472574.9666666668,9.341067735987654,-5981034.366666662,-0.05950679368043693
2015-12-08,-6479278.633333325,-6.72186515415497,472377.16666666605,9.3260770244317,-6006901.466666659,-0.05920684163890751
2015-12-09,-7424807.333333343,-7.69539086890961,484180.13333333284,9.52719277394365,-6940627.20000001,-0.0683361891898741
2015-12-10,-7451045.133333325,-7.7268208797550715,486329.2000000002,9.559743594620866,-6964715.933333325,-0.06860559558436041
2015-12-11,-7549930.266666666,-7.83654579845413,485294.5,9.537641364675002,-7064635.766666666,-0.06964982148647039
2015-12-12,-8243561,-8.64571516417779,484646.7333333334,9.523592743525597,-7758914.266666667,-0.07725122933504334
2015-12-13,-7988952.266666666,-8.448543169731062,485249.5333333332,9.534077642446245,-7503702.733333332,-0.07530076885354878
2015-12-14,-6065875.366666675,-6.340695182800374,488761.86666666716,9.593260473037777,-5577113.500000007,-0.05535012861924121
2015-12-15,-6073879.066666663,-6.28184715711344,488553.7000000002,9.582388027817872,-5585325.3666666625,-0.05487222900726499
2015-12-16,-7036728.933333322,-7.285556804795644,494604.43333333265,9.695160375221938,-6542124.49999999,-0.06433640342877411
2015-12-17,-7024990.966666669,-7.285815020724871,498999.7666666666,9.780641218092734,-6525991.200000002,-0.0642815315972409
2015-12-18,-7031668.866666675,-7.312464079719648,503126.333333333,9.862273724675065,-6528542.533333342,-0.06447206425271294
2015-12-19,-7602044.333333328,-7.987905170226156,512753.333333333,10.0412078831674,-7089290.999999995,-0.07069783558321027
2015-12-20,-7382388.700000003,-7.828020929028115,522571.2999999998,10.22157634296105,-6859817.400000003,-0.06899860688607404
2015-12-21,-5606967.700000003,-5.895075793900279,535820.7999999998,10.460839285185767,-5071146.900000003,-0.050592631058239974
2015-12-22,-5530221.900000006,-5.771523073387179,545713.0333333341,10.635810607028809,-4984508.866666672,-0.04937601178172585
2015-12-23,-6498281.833333328,-6.820075632981714,555404.7333333334,10.81396624753786,-5942877.099999995,-0.05918159146853351
2015-12-24,-6537567,-6.943584911101162,561417.4666666668,10.936228028155739,-5976149.533333333,-0.06019115482419341
2015-12-25,-6426001.766666666,-6.921553511977314,566825.9000000004,11.04778329964122,-5859175.866666665,-0.05980512676259962
2015-12-26,-6438654.599999994,-7.012495144370769,569850.1333333338,11.106610992709061,-5868804.46666666,-0.06053583182126952
2015-12-27,-6363065.966666669,-6.997487297973019,574296.2666666666,11.192366643292837,-5788769.700000002,-0.060259055941005515
2015-12-28,-4910721.299999997,-5.367960803306452,582359.0999999996,11.336076823717562,-4328362.199999997,-0.044798119940220836
2015-12-29,-4930279.166666672,-5.362721312433505,583232.5999999996,11.348396328578698,-4347046.566666672,-0.044780066334146815
2015-12-30,-5962203.733333334,-6.536209756807816,584138.2000000002,11.369262203572513,-5378065.533333334,-0.05581457618288132
2015-12-31,-5937587.933333337,-6.594648245851937,593876.5,11.576732605667335,-5343711.433333337,-0.05615125474677197
2016-01-01,-5926652.933333322,-6.688570645191051,599362.2666666675,11.692923610611707,-5327290.666666655,-0.056833820421247044
2016-01-02,-6201325.566666678,-7.09107757791484,602736.4333333336,11.761615716362236,-5598589.133333344,-0.060474868820295194
2016-01-03,-6043171.166666672,-6.983432652993568,609397.5666666673,11.887073727115572,-5433773.600000004,-0.05928030029635989
2016-01-04,-4374800.099999994,-5.007063819158642,618361.2666666666,12.045149987516139,-3756438.8333333274,-0.040607401313795054
2016-01-05,-4369657,-4.957341790442259,614967.166666666,11.98878738345723,-3754689.833333334,-0.04025411548717046
2016-01-06,-5399341,-6.150525323527501,612242.4333333336,11.944485468387322,-4787098.566666666,-0.05152271086781526
2016-01-07,-5437688.166666672,-6.206393561603711,614687.0666666664,11.98859132258281,-4823001.100000005,-0.05200474129156146
2016-01-08,-5550746.733333334,-6.360748756893968,618878.0666666664,12.06641733936278,-4931868.666666668,-0.05337835153550523
2016-01-09,-6259265.033333331,-7.256852219706646,621149,12.110626436865797,-5638116.033333331,-0.061698235410680945
2016-01-10,-6136444.5,-7.183734330289237,626603.9333333336,12.20910518407381,-5509840.566666666,-0.060846151918836064
2016-01-11,-4343868.800000012,-5.025342689006003,633145.4000000004,12.320556930970273,-3710723.4000000115,-0.04051972843309909
2016-01-12,-4375308,-5.004249620344396,635813.4000000004,12.36140029899909,-3739494.5999999996,-0.040394047194500446
2016-01-13,-5478153.766666666,-6.274438213160785,637088.1333333328,12.380107938181988,-4841065.633333333,-0.052361241490665504
2016-01-14,-5523099.666666672,-6.335881873424712,632047.9333333336,12.276253914847151,-4891051.733333338,-0.05297915795649465
2016-01-15,-5742189.099999994,-6.604743549117746,626535.2666666666,12.16380074552168,-5115653.833333327,-0.05554986757476661
2016-01-16,-6548938.166666657,-7.615289603976848,621539.666666667,12.06270246070348,-5927398.49999999,-0.06502919588082529
2016-01-17,-6455649.566666663,-7.572446720640638,619491.9000000004,12.011090676227761,-5836157.666666662,-0.06455248407171953
2016-01-18,-4973106.766666666,-5.7757131277925335,617744.5999999996,11.958586052691924,-4355362.166666666,-0.04771981455105712
2016-01-19,-5075818,-5.831463468109919,615274.4333333327,11.895084769163244,-4460543.566666667,-0.048371424945428725
2016-01-20,-6206951.933333337,-7.128366087830057,610154.9000000004,11.785902964058845,-5596797.033333337,-0.06066925045023633
2016-01-21,-6385651.166666657,-7.3241029668899325,601777.4666666668,11.6241115043215,-5783873.69999999,-0.06262058363819333
2016-01-22,-6668342.533333331,-7.635010287439885,594640.5333333332,11.480989265588432,-6073701.999999998,-0.06564861214750346
2016-01-23,-7406955.633333325,-8.477998388576982,587862.0666666664,11.33877623711832,-6819093.566666659,-0.07367904834938756
2016-01-24,-7457989.899999991,-8.506957989864096,583306.1000000006,11.23628813478875,-6874683.7999999905,-0.07403232944642772
2016-01-25,-6271639.933333322,-7.057130617490105,580846.0666666673,11.178396992582543,-5690793.866666655,-0.06049807982759423
2016-01-26,-6305470.233333334,-7.006255811696077,575191.7000000002,11.05960611890383,-5730278.533333334,-0.06019291828876655
2016-01-27,-7146544.233333334,-7.906136822648204,567190.166666667,10.905075427758941,-6579354.066666667,-0.06882635692380934
2016-01-28,-7242831.299999997,-7.976997190583289,565567.5,10.872454385516916,-6677263.799999997,-0.06955606203002675
2016-01-29,-7515710.533333331,-8.250048868090898,564807.4666666668,10.853413767612922,-6950903.066666665,-0.07217747265927023
2016-01-30,-8355347.199999988,-9.167202198838106,556771.0333333341,10.68536252883541,-7798576.166666654,-0.08093628332664374
2016-01-31,-8391081.63333334,-9.170578628002085,553969.9333333336,10.618084788641498,-7837111.700000007,-0.0810311641932664
2016-02-01,-7168511.533333331,-7.740173747993646,552803.5,10.582286297795456,-6615708.033333331,-0.06761886078613676
2016-02-02,-7226111.200000003,-7.714217343050057,550039.166666667,10.518230747940843,-6676072.033333336,-0.06750187012169481
2016-02-03,-8207271.63333334,-8.752687815128354,546316.7333333334,10.442444726664496,-7660954.900000007,-0.07738316383653474
2016-02-04,-8334519.200000003,-8.879031091336827,550386.7666666666,10.500160247032381,-7784132.433333336,-0.07854101566324174
2016-02-05,-8536880.700000003,-9.092478724975523,554473.666666667,10.56199524987976,-7982407.033333336,-0.08051717630430573
2016-02-06,-9325420.033333331,-10.026038145196187,558504.4666666668,10.626934726451283,-8766915.566666665,-0.08921473862246022
2016-02-07,-9235842.199999988,-10.013973870452366,563835.3666666662,10.713876814030462,-8672006.83333332,-0.08895077050803833
2016-02-08,-7780688.099999994,-8.369081667525936,570629.0666666673,10.821499898788298,-7210059.033333327,-0.07339039568914024
2016-02-09,-7957449.533333331,-8.486151377291248,577441.5,10.928659811655606,-7380008.033333331,-0.07450522497692202
2016-02-10,-9081133.433333322,-9.699706598244786,582726.4333333336,11.011084076675344,-8498406.999999989,-0.08591630958527438
2016-02-11,-9168478.166666672,-9.811753074014975,585191.3999999994,11.046068217684272,-8583286.766666673,-0.08692678219733509
2016-02-12,-9347700.366666675,-10.035581948482273,590357.833333333,11.131334815593515,-8757342.533333343,-0.0889529604447614
2016-02-13,-10271360.400000006,-11.17190282675089,582177.6000000006,11.004907712302431,-9689182.800000004,-0.09965282498049109
2016-02-14,-10042063.066666678,-11.018557995638952,590430.5999999996,11.149787274318044,-9451632.466666678,-0.09801225766158234
2016-02-15,-8246747.399999991,-8.955761768892765,598627.0333333332,11.285259628050918,-7648120.366666658,-0.07853275223972532
2016-02-16,-7967590.799999997,-8.559755060228333,609692.4333333336,11.476994661923365,-7357898.366666663,-0.07477972495065403
2016-02-17,-8523846.266666666,-9.140236208272974,620974,11.675637583564527,-7902872.266666666,-0.08017128656311594
2016-02-18,-8172493.099999994,-8.753957864783517,632427.2333333334,11.87726887415013,-7540065.866666661,-0.07640741919868532
2016-02-19,-7871330.833333343,-8.436196640318107,643234.5999999996,12.06866671959349,-7228096.233333344,-0.07328195730238736
2016-02-20,-8218155.400000006,-8.880666402028492,657036.8000000007,12.308581907541639,-7561118.600000005,-0.07725052831952936
2016-02-21,-7816922.533333331,-8.507747606291865,671538.6333333328,12.558777714044453,-7145383.8999999985,-0.07349160471049848
2016-02-22,-5861013.899999991,-6.305190268956812,687101.9333333336,12.819593293592273,-5173911.9666666575,-0.0526257773580361
2016-02-23,-5544373.5,-5.894880333697497,699170.2999999998,13.020858400424753,-4845203.2,-0.04873289711621361
2016-02-24,-6307652.533333331,-6.698328658371098,707368.4000000004,13.15843045663772,-5600284.133333331,-0.056259757648950824
2016-02-25,-6055777,-6.4227148588763825,716612.2999999998,13.317302998436123,-5339164.7,-0.053569532811984205
2016-02-26,-5966975.233333334,-6.335148768741545,724295.0999999996,13.450211337310524,-5242680.133333335,-0.05265140771060573
2016-02-27,-6495182.966666669,-6.959201618165052,725720.7333333334,13.468616965171961,-5769462.233333335,-0.05844237173261013
2016-02-28,-6135782.933333337,-6.62139748516823,728223,13.505050046727755,-5407559.933333337,-0.055146428096966744
