Date,Desktop/Delta,Desktop/Delta%,Android/Delta,Android/Delta%
2016-01-21,-9148724.142857134,-9.87626832343555,507046.71428571455,9.692047917177193
2016-01-22,-9596090,-10.407583692723067,500674.4285714291,9.57941359263277
2016-01-23,-9895752.285714284,-10.766361010794313,487183.5714285709,9.330172319900102
2016-01-24,-10244606.857142866,-11.18092986996789,471953.8571428573,9.04803577215706
2016-01-25,-9728763.714285716,-10.561207913799905,463436.4285714282,8.89076707574555
2016-01-26,-9756088.14285715,-10.577694532940598,452691.4285714291,8.686874396613488
2016-01-27,-9454127.142857134,-10.213048663536267,441731.5714285718,8.477036833394672
2016-01-28,-9300920.571428567,-10.017891629942902,469527.7142857136,8.981675321204024
2016-01-29,-9169230.428571433,-9.85313050189207,498060.8571428573,9.496594364266532
2016-01-30,-9139463.428571433,-9.808830898664796,527352.4285714282,10.024483420838902
2016-01-31,-9007804.571428567,-9.645363276941678,560752.2857142854,10.621104737046162
2016-02-01,-8864875,-9.467996132743174,593637.1428571437,11.19568055682634
2016-02-02,-8549400,-9.094399742590214,631051.2857142854,11.854957990243113
2016-02-03,-8412565.571428567,-8.939751381982942,667932.4285714291,12.504628531233358
2016-02-04,-8439616.285714284,-8.969249807762306,681205.8571428573,12.715945411505594
2016-02-05,-8373209.428571433,-8.905967522878667,692514.4285714291,12.90227888489904
2016-02-06,-8365877.714285716,-8.91420350097925,701596.7142857146,13.048511933418485
2016-02-07,-8417272,-8.997614552440316,708585.4285714282,13.16167592056607
2016-02-08,-9338219.428571418,-10.09490000743547,712254.2857142854,13.224082982368646
2016-02-09,-10124022.14285715,-11.038615238684672,715986.8571428573,13.283662690020229
2016-02-10,-10306353.714285716,-11.274555578662572,720443.5714285718,13.351159040735894
2016-02-11,-10172487.285714284,-11.150236538688157,717158.7142857136,13.291366550759854
2016-02-12,-10079523.428571418,-11.05526844995668,715404,13.254706508803196
2016-02-13,-10702007.714285716,-11.84927535843103,641381.5714285718,12.034988839209431
2016-02-14,-10114217.428571433,-11.166198958275876,641216.8571428573,12.02551998812376
2016-02-15,-8840981,-9.660565550675463,642433.4285714282,12.040771022278893
2016-02-16,-6749879.857142851,-7.305255893993472,658570.4285714282,12.34603189362492
2016-02-17,-5257285,-5.661828998959127,673607.4285714291,12.632713426659144
2016-02-18,-3864483.7142857164,-4.140378719756202,705610.7142857146,13.20078247764919
2016-02-19,-2423717.1428571343,-2.5845691004955054,731412.5714285709,13.659851478948712
2016-02-20,-349274.14285713434,-0.36685555927473995,827871.8571428573,15.227323876269095
2016-02-21,-59773.42857141793,-0.06266593514322466,848280.2857142864,15.569816179025201
2016-02-22,328819.85714285076,0.34376763409068156,866361.7142857146,15.871825939449066
2016-02-23,140610.14285713434,0.14678747524936203,855430.4285714291,15.66224171808456
2016-02-24,-230790.57142856717,-0.24034853210613458,833698.1428571427,15.275192528474937
2016-02-25,-684447.7142857164,-0.7113742848162001,813484.5714285718,14.91859289889281
2016-02-26,-1292603.1428571492,-1.3414553337653043,789133.7142857136,14.485970120321213
2016-02-27,-1916753,-1.9916529088491082,763887.4285714291,14.034959338027644
